obj_id,x,y,dx,dy,pdf,type
1,3824,619,-1304.0,346.0,0.0,1
1,3938,615,-1354.0,352.0,0.0,1
1,4041,617,-1389.0,351.0,0.0,1
1,3404,966,66.0,-2.0,0.0006615528866078163,1
1,3470,964,81.0,-1.0,0.0007477210426109645,1
1,3551,963,69.0,-5.0,0.00056099968492807,1
1,3620,958,77.0,-5.0,0.0005962706525734276,1
1,3697,953,71.0,-6.0,0.0005178015239976771,1
1,3768,947,78.0,9.0,0.00039570840498098623,1
1,3846,956,60.0,1.0,0.0006215145438959813,1
1,3906,957,61.0,-2.0,0.0006004743848815285,1
1,3967,955,63.0,-2.0,0.0006266866898584932,1
1,4030,953,57.0,8.0,0.00036041680357592435,1
2,325,465,131.0,0.0,0.0002390270035682373,1
2,456,465,127.0,1.0,0.0002750462110679461,1
2,583,466,125.0,0.0,0.0003168887771875764,1
2,708,466,-26.72222222222222,92.11111111111111,6.103944313676444e-45,1
2,487,501,121.0,2.0,0.0003304136718515667,1
2,608,503,117.0,-1.0,0.00044686341437150465,1
2,725,502,115.0,2.0,0.00040943501183954696,1
2,227,2124,48.0,3.0,0.00047827004951918323,1
2,275,2127,48.0,6.0,0.00028994319022722907,1
2,323,2133,-88.0,-1632.0,0.0,1
2,367,2144,-4.0,-1644.0,0.0,1
2,399,2152,88.0,-1651.0,0.0,1
2,840,504,113.0,2.0,0.0007593505383902663,1
2,953,506,113.0,2.0,0.0007593505383902663,1
2,1066,508,111.0,2.0,0.0008131032815388765,1
2,1177,510,109.0,1.0,0.0011453477965502558,1
2,1286,511,109.0,1.0,0.0011453477965502558,1
2,1395,512,107.0,3.0,0.0006043590599003793,1
2,1502,515,105.0,2.0,0.0009643535060992485,1
2,1607,517,104.0,1.0,0.0013212451172329204,1
2,1711,518,105.0,2.0,0.000826655391712923,1
2,1816,520,103.0,1.0,0.001222385121373036,1
2,1919,521,101.0,1.0,0.0012976656534385291,1
2,2020,522,102.0,1.0,0.0012605289238385245,1
2,2122,523,100.0,0.0,0.0016364538541529415,1
2,2222,523,100.0,2.0,0.0009544335801564655,1
2,2322,525,98.0,0.0,0.0017265174059710418,1
2,2420,525,97.0,0.0,0.0017688964543170977,1
2,2517,525,97.0,0.0,0.001005986807034425,1
2,2614,525,96.0,0.0,0.001036281168246399,1
2,2710,525,94.0,0.0,0.0010937095700329941,1
2,2804,525,94.0,0.0,0.0010937095700329941,1
2,2898,525,95.0,-1.0,0.0011547946599868447,1
2,2993,524,93.0,-1.0,0.0012184243373879163,1
2,3086,523,94.0,-2.0,0.0012215513531350453,1
2,3180,521,93.0,-1.0,0.0012184243373879163,1
2,3273,520,93.0,-1.0,0.0012184243373879163,1
2,3366,519,92.0,-2.0,0.001393394166183849,1
2,3458,517,93.0,-3.0,0.0012661135372694688,1
2,3551,514,95.0,-2.0,0.0012960943430206954,1
2,3646,512,94.0,-3.0,0.0012352027080842526,1
2,3740,509,97.0,0.0,0.0011976577146031561,1
2,3837,509,96.0,2.0,0.0009553186805104092,1
2,3933,511,98.0,2.0,0.0009033541278181653,1
3,279,830,158.0,3.0,3.236092898103554e-05,1
3,437,833,152.0,3.0,5.1671078803837744e-05,1
3,589,836,149.0,2.0,7.059863436527478e-05,1
3,738,838,144.0,2.0,9.930116262514312e-05,1
3,1620,478,57.0,1.0,0.0008698894602576193,1
3,882,840,142.0,3.0,0.00010535907608446842,1
3,1024,843,140.0,3.0,0.00012208825833016912,1
3,1164,846,138.0,3.0,0.00014066063177418703,1
3,1302,849,135.0,3.0,0.00017207861945405173,1
3,1437,852,133.0,2.0,0.00027907944945146357,1
